"date","btc_usd","buy_bitcoin","id","is_partial","period_interval","trend_ratio","update_timestamp"
"2018-09-25 00:00:00+00:00",33,11,27132,False,"1d",0.33333,"2019-03-06 00:01:52.607298+00:00"
"2018-09-26 00:00:00+00:00",36,16,27133,False,"1d",0.44444,"2019-03-06 00:01:52.610725+00:00"
"2018-09-27 00:00:00+00:00",35,11,27134,False,"1d",0.31429,"2019-03-06 00:01:52.614260+00:00"
"2018-09-28 00:00:00+00:00",39,14,27135,False,"1d",0.35897,"2019-03-06 00:01:52.618699+00:00"
"2018-09-29 00:00:00+00:00",32,10,27136,False,"1d",0.31250,"2019-03-06 00:01:52.622338+00:00"
"2018-09-30 00:00:00+00:00",31,12,27137,False,"1d",0.38710,"2019-03-06 00:01:52.625776+00:00"
"2018-10-01 00:00:00+00:00",39,12,27138,False,"1d",0.30769,"2019-03-06 00:01:52.628799+00:00"
"2018-10-02 00:00:00+00:00",39,12,27139,False,"1d",0.30769,"2019-03-06 00:01:52.633345+00:00"
"2018-10-03 00:00:00+00:00",37,13,27140,False,"1d",0.35135,"2019-03-06 00:01:52.636852+00:00"
"2018-10-04 00:00:00+00:00",35,14,27141,False,"1d",0.40000,"2019-03-06 00:01:52.640242+00:00"
"2018-10-05 00:00:00+00:00",28,13,27142,False,"1d",0.46429,"2019-03-06 00:01:52.643523+00:00"
"2018-10-06 00:00:00+00:00",34,16,27143,False,"1d",0.47059,"2019-03-06 00:01:52.647554+00:00"
"2018-10-07 00:00:00+00:00",27,14,27144,False,"1d",0.51852,"2019-03-06 00:01:52.650771+00:00"
"2018-10-08 00:00:00+00:00",35,16,27145,False,"1d",0.45714,"2019-03-06 00:01:52.654267+00:00"
"2018-10-09 00:00:00+00:00",30,14,27146,False,"1d",0.46667,"2019-03-06 00:01:52.657523+00:00"
"2018-10-10 00:00:00+00:00",37,18,27147,False,"1d",0.48649,"2019-03-06 00:01:52.661092+00:00"
"2018-10-11 00:00:00+00:00",48,13,27148,False,"1d",0.27083,"2019-03-06 00:01:52.664374+00:00"
"2018-10-12 00:00:00+00:00",39,12,27149,False,"1d",0.30769,"2019-03-06 00:01:52.667620+00:00"
"2018-10-13 00:00:00+00:00",36,15,27150,False,"1d",0.41667,"2019-03-06 00:01:52.672101+00:00"
"2018-10-14 00:00:00+00:00",34,11,27151,False,"1d",0.32353,"2019-03-06 00:01:52.675572+00:00"
"2018-10-15 00:00:00+00:00",46,10,27152,False,"1d",0.21739,"2019-03-06 00:01:52.679024+00:00"
"2018-10-16 00:00:00+00:00",37,16,27153,False,"1d",0.43243,"2019-03-06 00:01:52.682296+00:00"
"2018-10-17 00:00:00+00:00",30,14,27154,False,"1d",0.46667,"2019-03-06 00:01:52.685968+00:00"
"2018-10-18 00:00:00+00:00",33,15,27155,False,"1d",0.45455,"2019-03-06 00:01:52.689361+00:00"
"2018-10-19 00:00:00+00:00",34,16,27156,False,"1d",0.47059,"2019-03-06 00:01:52.692744+00:00"
"2018-10-20 00:00:00+00:00",32,17,27157,False,"1d",0.53125,"2019-03-06 00:01:52.695810+00:00"
"2018-10-21 00:00:00+00:00",27,16,27158,False,"1d",0.59259,"2019-03-06 00:01:52.699168+00:00"
"2018-10-22 00:00:00+00:00",34,10,27159,False,"1d",0.29412,"2019-03-06 00:01:52.702321+00:00"
"2018-10-23 00:00:00+00:00",29,16,27160,False,"1d",0.55172,"2019-03-06 00:01:52.706111+00:00"
"2018-10-24 00:00:00+00:00",32,14,27161,False,"1d",0.43750,"2019-03-06 00:01:52.709315+00:00"
"2018-10-25 00:00:00+00:00",31,12,27162,False,"1d",0.38710,"2019-03-06 00:01:52.712578+00:00"
"2018-10-26 00:00:00+00:00",25,11,27163,False,"1d",0.44000,"2019-03-06 00:01:52.716247+00:00"
"2018-10-27 00:00:00+00:00",29,14,27164,False,"1d",0.48276,"2019-03-06 00:01:52.720374+00:00"
"2018-10-28 00:00:00+00:00",26,14,27165,False,"1d",0.53846,"2019-03-06 00:01:52.724341+00:00"
"2018-10-29 00:00:00+00:00",35,11,27166,False,"1d",0.31429,"2019-03-06 00:01:52.728675+00:00"
"2018-10-30 00:00:00+00:00",29,11,27167,False,"1d",0.37931,"2019-03-06 00:01:52.732548+00:00"
"2018-10-31 00:00:00+00:00",32,12,27168,False,"1d",0.37500,"2019-03-06 00:01:52.736579+00:00"
"2018-11-01 00:00:00+00:00",37,12,27169,False,"1d",0.32432,"2019-03-06 00:01:52.740039+00:00"
"2018-11-02 00:00:00+00:00",32,12,27170,False,"1d",0.37500,"2019-03-06 00:01:52.743200+00:00"
"2018-11-03 00:00:00+00:00",25,18,27171,False,"1d",0.72000,"2019-03-06 00:01:52.746141+00:00"
"2018-11-04 00:00:00+00:00",25,11,27172,False,"1d",0.44000,"2019-03-06 00:01:52.749146+00:00"
"2018-11-05 00:00:00+00:00",28,10,27173,False,"1d",0.35714,"2019-03-06 00:01:52.752739+00:00"
"2018-11-06 00:00:00+00:00",26,8,27174,False,"1d",0.30769,"2019-03-06 00:01:52.756041+00:00"
"2018-11-07 00:00:00+00:00",30,14,27175,False,"1d",0.46667,"2019-03-06 00:01:52.759322+00:00"
"2018-11-08 00:00:00+00:00",27,12,27176,False,"1d",0.44444,"2019-03-06 00:01:52.762065+00:00"
"2018-11-09 00:00:00+00:00",26,14,27177,False,"1d",0.53846,"2019-03-06 00:01:52.765095+00:00"
"2018-11-10 00:00:00+00:00",22,9,27178,False,"1d",0.40909,"2019-03-06 00:01:52.768438+00:00"
"2018-11-11 00:00:00+00:00",29,9,27179,False,"1d",0.31034,"2019-03-06 00:01:52.771897+00:00"
"2018-11-12 00:00:00+00:00",30,12,27180,False,"1d",0.40000,"2019-03-06 00:01:52.775314+00:00"
"2018-11-13 00:00:00+00:00",23,12,27181,False,"1d",0.52174,"2019-03-06 00:01:52.778788+00:00"
"2018-11-14 00:00:00+00:00",49,14,27182,False,"1d",0.28571,"2019-03-06 00:01:52.783191+00:00"
"2018-11-15 00:00:00+00:00",59,15,27183,False,"1d",0.25424,"2019-03-06 00:01:52.786989+00:00"
"2018-11-16 00:00:00+00:00",43,14,27184,False,"1d",0.32558,"2019-03-06 00:01:52.790663+00:00"
"2018-11-17 00:00:00+00:00",43,14,27185,False,"1d",0.32558,"2019-03-06 00:01:52.793905+00:00"
"2018-11-18 00:00:00+00:00",34,13,27186,False,"1d",0.38235,"2019-03-06 00:01:52.797382+00:00"
"2018-11-19 00:00:00+00:00",56,13,27187,False,"1d",0.23214,"2019-03-06 00:01:52.802273+00:00"
"2018-11-20 00:00:00+00:00",89,22,27188,False,"1d",0.24719,"2019-03-06 00:01:52.806085+00:00"
"2018-11-21 00:00:00+00:00",61,13,27189,False,"1d",0.21311,"2019-03-06 00:01:52.809318+00:00"
"2018-11-22 00:00:00+00:00",58,14,27190,False,"1d",0.24138,"2019-03-06 00:01:52.812415+00:00"
"2018-11-23 00:00:00+00:00",57,15,27191,False,"1d",0.26316,"2019-03-06 00:01:52.816152+00:00"
"2018-11-24 00:00:00+00:00",54,15,27192,False,"1d",0.27778,"2019-03-06 00:01:52.820169+00:00"
"2018-11-25 00:00:00+00:00",100,19,27193,False,"1d",0.19000,"2019-03-06 00:01:52.824085+00:00"
"2018-11-26 00:00:00+00:00",77,20,27194,False,"1d",0.25974,"2019-03-06 00:01:52.827521+00:00"
"2018-11-27 00:00:00+00:00",68,18,27195,False,"1d",0.26471,"2019-03-06 00:01:52.831165+00:00"
"2018-11-28 00:00:00+00:00",73,18,27196,False,"1d",0.24658,"2019-03-06 00:01:52.834938+00:00"
"2018-11-29 00:00:00+00:00",67,13,27197,False,"1d",0.19403,"2019-03-06 00:01:52.838620+00:00"
"2018-11-30 00:00:00+00:00",63,12,27198,False,"1d",0.19048,"2019-03-06 00:01:52.842142+00:00"
"2018-12-01 00:00:00+00:00",45,12,27199,False,"1d",0.26667,"2019-03-06 00:01:52.845759+00:00"
"2018-12-02 00:00:00+00:00",45,16,27200,False,"1d",0.35556,"2019-03-06 00:01:52.849434+00:00"
"2018-12-03 00:00:00+00:00",52,16,27201,False,"1d",0.30769,"2019-03-06 00:01:52.852867+00:00"
"2018-12-04 00:00:00+00:00",56,11,27202,False,"1d",0.19643,"2019-03-06 00:01:52.855874+00:00"
"2018-12-05 00:00:00+00:00",45,13,27203,False,"1d",0.28889,"2019-03-06 00:01:52.859249+00:00"
"2018-12-06 00:00:00+00:00",52,12,27204,False,"1d",0.23077,"2019-03-06 00:01:52.862787+00:00"
"2018-12-07 00:00:00+00:00",70,12,27205,False,"1d",0.17143,"2019-03-06 00:01:52.867239+00:00"
"2018-12-08 00:00:00+00:00",46,15,27206,False,"1d",0.32609,"2019-03-06 00:01:52.871022+00:00"
