"id","crypto_traded","currency_quoted","data_source","period_close","period_high","period_interval","period_low","period_open","period_start_timestamp","period_volume","search_trend_id","update_timestamp"
9346,"BTC","USD","Nomics https://api.nomics.com/v1/candles",258.6772200000,264.9421400000,"1d",253.6434600000,263.1750700000,"2015-07-01T00:00:00Z",9073225.0000000000,28469,"2019-03-05 23:58:56.809417+00:00"
9347,"BTC","USD","Nomics https://api.nomics.com/v1/candles",254.7088700000,262.4351500000,"1d",253.1621200000,258.5287200000,"2015-07-02T00:00:00Z",7052598.0000000000,28470,"2019-03-05 23:58:56.846273+00:00"
9348,"BTC","USD","Nomics https://api.nomics.com/v1/candles",256.4536700000,257.2447500000,"1d",252.4455600000,254.9060200000,"2015-07-03T00:00:00Z",5080896.0000000000,28471,"2019-03-05 23:58:56.903442+00:00"
9349,"BTC","USD","Nomics https://api.nomics.com/v1/candles",260.7001500000,262.1164500000,"1d",254.0555700000,256.5446000000,"2015-07-04T00:00:00Z",4024245.0000000000,28472,"2019-03-05 23:58:56.979317+00:00"
9350,"BTC","USD","Nomics https://api.nomics.com/v1/candles",272.2477600000,275.8502500000,"1d",258.2812500000,260.7762100000,"2015-07-05T00:00:00Z",16961041.0000000000,28473,"2019-03-05 23:58:57.052088+00:00"
9351,"BTC","USD","Nomics https://api.nomics.com/v1/candles",269.8747000000,278.9647700000,"1d",267.7295600000,271.9706800000,"2015-07-06T00:00:00Z",20048612.0000000000,28474,"2019-03-05 23:58:57.108460+00:00"
9352,"BTC","USD","Nomics https://api.nomics.com/v1/candles",265.8548700000,271.7126300000,"1d",263.2132600000,269.2393700000,"2015-07-07T00:00:00Z",8869981.0000000000,28475,"2019-03-05 23:58:57.171866+00:00"
9353,"BTC","USD","Nomics https://api.nomics.com/v1/candles",270.6117500000,274.2325100000,"1d",263.5049900000,266.1403800000,"2015-07-08T00:00:00Z",12943765.0000000000,28476,"2019-03-05 23:58:57.241687+00:00"
9354,"BTC","USD","Nomics https://api.nomics.com/v1/candles",269.9354300000,274.0444100000,"1d",266.7402400000,270.9829400000,"2015-07-09T00:00:00Z",9678997.0000000000,28477,"2019-03-05 23:58:57.278366+00:00"
9355,"BTC","USD","Nomics https://api.nomics.com/v1/candles",285.8697300000,296.4184400000,"1d",269.1763200000,270.1409200000,"2015-07-10T00:00:00Z",33751864.0000000000,28478,"2019-03-05 23:58:57.313073+00:00"
9356,"BTC","USD","Nomics https://api.nomics.com/v1/candles",293.8450500000,301.7479700000,"1d",284.1966100000,286.9472800000,"2015-07-11T00:00:00Z",15729870.0000000000,28479,"2019-03-05 23:58:57.347259+00:00"
9357,"BTC","USD","Nomics https://api.nomics.com/v1/candles",311.6487700000,316.5698900000,"1d",292.4101300000,293.7438100000,"2015-07-12T00:00:00Z",25270370.0000000000,28480,"2019-03-05 23:58:57.380244+00:00"
9358,"BTC","USD","Nomics https://api.nomics.com/v1/candles",293.2762500000,312.1029800000,"1d",281.2874100000,311.2687600000,"2015-07-13T00:00:00Z",28412924.0000000000,28481,"2019-03-05 23:58:57.415237+00:00"
9359,"BTC","USD","Nomics https://api.nomics.com/v1/candles",287.6738700000,298.3947400000,"1d",286.3447300000,293.2866400000,"2015-07-14T00:00:00Z",10217772.0000000000,28482,"2019-03-05 23:58:57.455468+00:00"
